Market,Open,Close,Sat Open,Sat Close
San Antonio,4:00,18:00,,
Houston,4:00,18:00,,
Atlanta,6:00,18:00,,
Scottsdale (Southwest),5:00,16:00,5:00,12:00
South CA,5:00,17:00,5:00,14:00
North CA,5:00,17:00,,
Reno,6:00,16:00,,
Jupiter,6:00,17:00,,
Naples,6:00,17:00,,
Sarasota,6:00,17:00,,
Miami,7:00,16:00,,
Orlando,6:00,17:00,,
Tampa,6:00,17:00,,
Demopolis,7:00,16:00,,
Foley,5:00,17:00,,
Dothan,6:00,17:00,,
Cantonment,6:00,17:00,,
Panama City,6:00,17:00,,
Opelika,5:00,17:00,,
East TN,6:00,17:00,,
North AL,5:00,17:00,,
Central AL,5:00,17:00,,
California,5:00,17:00,5:00,14:00
California + Southwest,4:00,17:00,4:00,14:00
Texas,4:00,18:00,,
FL JNS,6:00,17:00,,
FL JNSM,6:00,17:00,,
Mid South,5:00,17:00,,
Florida,6:00,17:00,,
