Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,10:00:00.000,101,9.779048869,0,0,0,4,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,11:00:00.000,69,8.586513833,0,0,0,4,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,12:00:00.000,61,7.93640366,0,0,0,4,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,13:00:00.000,75,7.288145549,0,0,0,4,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,14:00:00.000,49,4.996049466,0,0,0,4,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,15:00:00.000,32,1.471111111,0,0,0,4,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,2,Tuesday,16:00:00.000,17,0.5041666667,0,0,0,4,3
NORTH AL,,,,,,2025,10,2,Tuesday,17:00:00.000,1,0.1033333333,,,,1,
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,00:00:00.000,,,0,0,0,,1
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,01:00:00.000,,,0,0,0,,1
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,02:00:00.000,,,0,0,0,,1
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,03:00:00.000,2,0.01777777778,0,0,0,1,2
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,04:00:00.000,3,0.015,0,0,0,1,2
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,05:00:00.000,20,2.481111111,0,0,0,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,06:00:00.000,54,5.072214461,0,0,0,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,07:00:00.000,123,12.129166667,0,0,0,5,4
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,08:00:00.000,181,17.824027053,2,0,2,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,09:00:00.000,150,12.470648586,1,0,1,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,10:00:00.000,116,9.728714785,0,0,0,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,11:00:00.000,102,11.067615597,0,0,0,5,5
NORTH AL,CENTRAL,05:00:00.000,17:00:00.000,,,2025,10,3,Wednesday,12:00:00.000,62,5.199265155,0,0,0,5,5
