Market,YEAR,MONTH,Media Type,Handle Time (seconds),Interactions
Atlanta,2025,5,callback,38,6
Atlanta,2025,5,email,12637,433
Atlanta,2025,5,message,522,22
Atlanta,2025,5,voice,1123137,9221
Atlanta,2025,6,callback,15,2
Atlanta,2025,6,email,16969,461
Atlanta,2025,6,message,76,8
Atlanta,2025,6,voice,1171416,9372
Atlanta,2025,7,callback,36,5
Atlanta,2025,7,email,18848,511
Atlanta,2025,7,voice,1256655,10374
Atlanta,2025,8,callback,30,2
Atlanta,2025,8,email,17074,437
Atlanta,2025,8,voice,1042497,9292
Atlanta,2025,9,callback,6,1
Atlanta,2025,9,email,13594,557
Atlanta,2025,9,voice,1091253,9366
Atlanta,2025,10,callback,17,2
Atlanta,2025,10,email,16898,656
Atlanta,2025,10,voice,1040782,8774
Atlanta,2025,11,callback,22,3
Atlanta,2025,11,email,13245,415
Atlanta,2025,11,voice,926566,7623
Atlanta,2025,12,callback,39,3
Atlanta,2025,12,email,8669,330
Atlanta,2025,12,voice,901865,7137
Atlanta,2026,1,callback,6,1
Atlanta,2026,1,email,14007,395
Atlanta,2026,1,voice,900509,7092
Atlanta,2026,2,email,21422,539
Atlanta,2026,2,voice,1124256,8747
Atlanta,2026,3,callback,16,2
Atlanta,2026,3,email,19549,522
Atlanta,2026,3,voice,1209036,9692
Atlanta,2026,4,email,22601,610
Atlanta,2026,4,voice,1126005,8780
Cantonment,2025,5,callback,254,44
Cantonment,2025,5,voice,406800,3523
Cantonment,2025,6,callback,144,26
Cantonment,2025,6,voice,406484,3516
Cantonment,2025,7,callback,167,25
Cantonment,2025,7,voice,339607,3332
Cantonment,2025,8,callback,103,16
Cantonment,2025,8,voice,327979,3097
Cantonment,2025,9,callback,80,14
Cantonment,2025,9,voice,340073,2996
Cantonment,2025,10,callback,116,25
Cantonment,2025,10,voice,372299,3260
Cantonment,2025,11,callback,68,13
Cantonment,2025,11,voice,284549,2454
Cantonment,2025,12,callback,85,18
Cantonment,2025,12,voice,302289,2474
Cantonment,2026,1,callback,152,31
Cantonment,2026,1,voice,350564,2831
Cantonment,2026,2,callback,259,38
Cantonment,2026,2,voice,370013,2929
Cantonment,2026,3,callback,312,75
Cantonment,2026,3,voice,387549,3218
Cantonment,2026,4,callback,228,49
Cantonment,2026,4,voice,378679,2949
Central AL,2025,5,callback,33,5
Central AL,2025,5,email,3633,89
Central AL,2025,5,voice,600899,4650
Central AL,2025,6,callback,12,2
Central AL,2025,6,email,7333,139
Central AL,2025,6,voice,645962,5045
Central AL,2025,7,callback,166,4
Central AL,2025,7,email,6630,187
Central AL,2025,7,voice,654533,5176
Central AL,2025,8,callback,65,6
Central AL,2025,8,email,6765,194
Central AL,2025,8,voice,579221,5181
Central AL,2025,9,callback,55,5
Central AL,2025,9,email,7450,172
Central AL,2025,9,voice,687468,5621
Central AL,2025,10,callback,190,7
Central AL,2025,10,email,10769,235
Central AL,2025,10,voice,636195,5060
Central AL,2025,11,callback,197,5
Central AL,2025,11,email,9661,155
Central AL,2025,11,voice,671310,4912
Central AL,2025,12,callback,346,12
Central AL,2025,12,email,9157,187
Central AL,2025,12,voice,586089,4491
Central AL,2026,1,callback,77,12
Central AL,2026,1,email,10614,201
Central AL,2026,1,voice,574242,4456
Central AL,2026,2,callback,123,8
Central AL,2026,2,email,11143,182
Central AL,2026,2,voice,595402,4734
Central AL,2026,3,callback,215,10
Central AL,2026,3,email,13365,322
Central AL,2026,3,voice,633262,5455
Central AL,2026,4,callback,374,14
Central AL,2026,4,email,14696,433
Central AL,2026,4,voice,604751,5056
Demopolis,2025,5,callback,39,7
Demopolis,2025,5,voice,67566,376
Demopolis,2025,6,callback,37,3
Demopolis,2025,6,message,2759,7
Demopolis,2025,6,voice,67041,312
Demopolis,2025,7,callback,10,2
Demopolis,2025,7,voice,44455,248
Demopolis,2025,8,callback,5,1
Demopolis,2025,8,message,1714,8
Demopolis,2025,8,voice,52100,222
Demopolis,2025,9,callback,26,3
Demopolis,2025,9,message,774,5
Demopolis,2025,9,voice,57574,274
Demopolis,2025,10,callback,12,2
Demopolis,2025,10,message,161,3
Demopolis,2025,10,voice,60273,245
Demopolis,2025,11,message,5,1
Demopolis,2025,11,voice,57600,306
Demopolis,2025,12,callback,48,1
Demopolis,2025,12,message,181,1
Demopolis,2025,12,voice,40988,269
Demopolis,2026,1,callback,162,3
Demopolis,2026,1,message,345,3
Demopolis,2026,1,voice,39136,219
Demopolis,2026,2,callback,4,1
Demopolis,2026,2,message,483,3
Demopolis,2026,2,voice,57776,316
Demopolis,2026,3,callback,23,4
Demopolis,2026,3,message,821,6
Demopolis,2026,3,voice,86543,443
Demopolis,2026,4,callback,5,1
Demopolis,2026,4,message,293,3
Demopolis,2026,4,voice,49463,262
Dothan,2025,5,voice,347767,2265
Dothan,2025,6,voice,316962,2306
Dothan,2025,7,voice,258309,2386
Dothan,2025,8,voice,253304,2310
Dothan,2025,9,voice,224727,2208
Dothan,2025,10,voice,262980,2407
Dothan,2025,11,voice,212990,2008
Dothan,2025,12,callback,25,4
Dothan,2025,12,voice,189250,1739
Dothan,2026,1,callback,171,3
