Market,Year,Month,Media Type,Handle Time (seconds),Interactions
SOUTH CA,2026,4,message,281016,1006
SOUTH CA,2026,4,voice,1584684,8323
SOUTH CA,2026,5,email,2422,23
SOUTH CA,2026,5,message,259279,1034
SOUTH CA,2026,5,voice,1247085,6461
SOUTHWEST,2025,6,message,22904,199
SOUTHWEST,2025,6,voice,1533794,6052
SOUTHWEST,2025,7,message,16581,110
SOUTHWEST,2025,7,voice,1748582,6454
SOUTHWEST,2025,8,message,17039,101
SOUTHWEST,2025,8,voice,1428787,5269
SOUTHWEST,2025,9,callback,66,1
SOUTHWEST,2025,9,message,49792,220
SOUTHWEST,2025,9,voice,1411880,5527
SOUTHWEST,2025,10,callback,181,7
SOUTHWEST,2025,10,email,311,1
SOUTHWEST,2025,10,message,26983,164
SOUTHWEST,2025,10,voice,1576498,6809
SOUTHWEST,2025,11,message,25776,194
SOUTHWEST,2025,11,voice,1213615,5171
SOUTHWEST,2025,12,callback,22,2
SOUTHWEST,2025,12,message,23401,172
SOUTHWEST,2025,12,voice,1412674,5290
SOUTHWEST,2026,1,message,35253,181
SOUTHWEST,2026,1,voice,1406995,5375
SOUTHWEST,2026,2,message,46007,192
SOUTHWEST,2026,2,voice,1345503,5181
SOUTHWEST,2026,3,message,44007,145
SOUTHWEST,2026,3,voice,1518455,5986
SOUTHWEST,2026,4,callback,16,1
SOUTHWEST,2026,4,message,50564,179
SOUTHWEST,2026,4,voice,1433927,5308
SOUTHWEST,2026,5,message,34653,224
SOUTHWEST,2026,5,voice,1275280,4787
TAMPA,2025,6,callback,78,6
TAMPA,2025,6,email,606457,702
TAMPA,2025,6,message,86873,811
TAMPA,2025,6,voice,1383453,8129
TAMPA,2025,7,callback,51,5
TAMPA,2025,7,email,634228,610
TAMPA,2025,7,message,137526,816
TAMPA,2025,7,voice,1474541,8015
TAMPA,2025,8,callback,71,1
TAMPA,2025,8,email,710820,665
TAMPA,2025,8,message,131925,1019
TAMPA,2025,8,voice,1374032,7072
TAMPA,2025,9,email,720379,525
TAMPA,2025,9,message,83465,551
TAMPA,2025,9,voice,1366368,7399
TAMPA,2025,10,callback,1550,14
TAMPA,2025,10,email,756488,493
TAMPA,2025,10,message,86461,631
TAMPA,2025,10,voice,1334424,8065
TAMPA,2025,11,callback,6,1
TAMPA,2025,11,email,407162,279
TAMPA,2025,11,message,59512,365
TAMPA,2025,11,voice,1073935,6534
TAMPA,2025,12,email,426141,568
TAMPA,2025,12,message,106750,601
TAMPA,2025,12,voice,1203898,7138
TAMPA,2026,1,callback,107,2
TAMPA,2026,1,email,728002,604
TAMPA,2026,1,message,105467,687
TAMPA,2026,1,voice,1341146,7654
TAMPA,2026,2,callback,790,5
TAMPA,2026,2,email,906259,723
TAMPA,2026,2,message,123396,742
TAMPA,2026,2,voice,1246636,7554
TAMPA,2026,3,callback,45,1
TAMPA,2026,3,email,930348,758
TAMPA,2026,3,message,114561,625
TAMPA,2026,3,voice,1368368,7912
TAMPA,2026,4,email,919436,683
TAMPA,2026,4,message,126151,612
TAMPA,2026,4,voice,1316252,7313
TAMPA,2026,5,callback,54,2
TAMPA,2026,5,email,924011,676
TAMPA,2026,5,message,162379,579
TAMPA,2026,5,voice,1030791,5831
MIAMI,2026,4,email,3988,63
MIAMI,2026,4,message,5001,15
MIAMI,2026,4,voice,936424,4966
MIAMI,2026,5,email,1920,53
MIAMI,2026,5,message,595,8
MIAMI,2026,5,voice,639454,3896
NORTH AL,2025,6,callback,39,5
NORTH AL,2025,6,email,26370,226
NORTH AL,2025,6,voice,672448,5280
NORTH AL,2025,7,callback,20,3
NORTH AL,2025,7,email,14405,211
NORTH AL,2025,7,voice,679348,5166
NORTH AL,2025,8,callback,113,3
NORTH AL,2025,8,email,11459,233
NORTH AL,2025,8,voice,612398,4568
NORTH AL,2025,9,callback,15,2
NORTH AL,2025,9,email,9785,168
NORTH AL,2025,9,voice,558361,4234
NORTH AL,2025,10,callback,26,4
NORTH AL,2025,10,email,13775,236
NORTH AL,2025,10,voice,590281,4505
NORTH AL,2025,11,callback,130,14
NORTH AL,2025,11,email,10392,171
NORTH AL,2025,11,voice,616548,4397
NORTH AL,2025,12,callback,271,25
NORTH AL,2025,12,email,5607,103
NORTH AL,2025,12,voice,482717,3584
NORTH AL,2026,1,callback,174,11
NORTH AL,2026,1,email,8263,110
NORTH AL,2026,1,voice,415751,3077
NORTH AL,2026,2,callback,45,6
NORTH AL,2026,2,email,4228,104
NORTH AL,2026,2,voice,516668,3849
NORTH AL,2026,3,callback,446,23
NORTH AL,2026,3,email,10016,181
NORTH AL,2026,3,voice,647717,4588
NORTH AL,2026,4,callback,147,8
NORTH AL,2026,4,email,6748,193
NORTH AL,2026,4,voice,537382,3946
NORTH AL,2026,5,callback,43,7
NORTH AL,2026,5,email,8212,84
NORTH AL,2026,5,voice,482739,3402
NORTH CA,2025,6,callback,226,37
NORTH CA,2025,6,email,27179,95
NORTH CA,2025,6,message,77163,701
NORTH CA,2025,6,voice,2159228,13194
NORTH CA,2025,7,callback,221,26
NORTH CA,2025,7,email,39903,126
NORTH CA,2025,7,message,120503,722
NORTH CA,2025,7,voice,2337263,13648
NORTH CA,2025,8,callback,291,20
NORTH CA,2025,8,email,23070,90
NORTH CA,2025,8,message,161194,902
NORTH CA,2025,8,voice,2449409,13240
NORTH CA,2025,9,callback,9,1
NORTH CA,2025,9,email,40375,140
NORTH CA,2025,9,message,195847,936
NORTH CA,2025,9,voice,2490450,13116
NORTH CA,2025,10,callback,1253,21
NORTH CA,2025,10,email,33947,124
NORTH CA,2025,10,message,179439,1077
NORTH CA,2025,10,voice,2704962,14388
NORTH CA,2025,11,email,22171,93
NORTH CA,2025,11,message,121127,856
NORTH CA,2025,11,voice,1841463,10236
NORTH CA,2025,12,callback,17,1
NORTH CA,2025,12,email,18737,87
NORTH CA,2025,12,message,150923,1058
NORTH CA,2025,12,voice,2056640,10979
NORTH CA,2026,1,callback,16,2
NORTH CA,2026,1,email,22860,121
NORTH CA,2026,1,message,162230,925
NORTH CA,2026,1,voice,1877762,10544
NORTH CA,2026,2,callback,8,1
NORTH CA,2026,2,email,27926,99
NORTH CA,2026,2,message,160953,964
NORTH CA,2026,2,voice,1647333,9343
NORTH CA,2026,3,callback,993,1
PANAMA CITY,2025,9,voice,206670,1873
PANAMA CITY,2025,10,callback,204,9
PANAMA CITY,2025,10,voice,230991,2060
PANAMA CITY,2025,11,callback,22,4
PANAMA CITY,2025,11,voice,169021,1611
PANAMA CITY,2025,12,callback,19,3
PANAMA CITY,2025,12,voice,187341,1742
PANAMA CITY,2026,1,callback,21,3
PANAMA CITY,2026,1,voice,186777,1731
PANAMA CITY,2026,2,callback,38,6
PANAMA CITY,2026,2,voice,209753,1918
PANAMA CITY,2026,3,callback,16,3
PANAMA CITY,2026,3,voice,227862,2261
PANAMA CITY,2026,4,callback,37,6
PANAMA CITY,2026,4,voice,182731,1889
PANAMA CITY,2026,5,callback,49,8
PANAMA CITY,2026,5,voice,159635,1502
RENO,2025,6,voice,240356,1795
RENO,2025,7,voice,233497,1902
RENO,2025,8,voice,217611,2007
RENO,2025,9,voice,213725,1927
RENO,2025,10,voice,230300,2147
RENO,2025,11,voice,206315,1791
RENO,2025,12,voice,131500,1271
RENO,2026,1,voice,149020,1433
RENO,2026,2,voice,129945,1263
RENO,2026,3,voice,188158,1857
RENO,2026,4,voice,192034,1760
RENO,2026,5,voice,183478,1606
SAN ANTONIO,2025,6,voice,422529,3115
SAN ANTONIO,2025,7,voice,471506,3367
SAN ANTONIO,2025,8,callback,6,1
SAN ANTONIO,2025,8,voice,378836,2749
SAN ANTONIO,2025,9,callback,9,1
SAN ANTONIO,2025,9,voice,360164,2604
SAN ANTONIO,2025,10,callback,151,1
