Market,Year,Month,Total Orders,Analog Total,Digital Total,Analog Auto,Digital Auto,Modification Analog,Modification Digital,Cancellation Analog,Cancellation Digital,Digitizable Orders,Modification Digitizable,Cancellation Digitizable,HTCreate,HTCancel,HTModify,HTOther,HTOManage,HTDManage
OPELIKA,2026,5,999,999,0,0,0,996,0,148,0,645,645,87,47688,2717,26863,0,49527,50276
EAST TN,2026,4,2310,2310,0,0,0,1993,0,427,0,740,617,145,156910,3756,83478,0,382620,519
ORLANDO,2025,12,4222,4087,135,5,34,2481,4,1572,55,3002,1636,809,235216,21601,334476,0,398426,106507
CENTRAL AL,2025,7,1333,1333,0,0,0,1114,0,213,0,584,509,97,186533,8803,120459,0,316186,0
MIAMI,2026,3,2013,2011,2,1238,2,1323,0,843,1,1616,1029,579,140282,24365,172293,3,498104,162086
SOUTH CA,2025,11,3040,2234,806,1540,719,1672,121,719,223,2417,1366,576,589206,55018,345700,401,590893,582
FOLEY,2026,2,553,553,0,0,0,295,0,110,0,253,85,15,99107,2256,31183,1,74308,0
RENO,2025,10,708,708,0,0,0,371,0,173,0,425,185,57,38668,1092,68945,0,121595,0
SOUTHWEST,2026,5,5575,3595,1980,2238,1831,3370,273,866,424,4829,3078,968,566066,29166,386158,0,278857,49686
RENO,2025,6,600,600,0,0,0,314,0,126,0,309,146,19,51381,3901,92546,0,92528,0
DOTHAN,2026,1,918,890,28,0,0,454,0,221,1,298,117,49,55273,1022,12497,0,141256,5888
DEMOPOLIS,2025,6,188,188,0,0,0,155,0,32,0,41,38,6,40498,1142,11934,0,11127,3508
ORLANDO,2026,1,4692,4552,140,2,21,2663,7,1560,26,3311,1752,736,281516,32978,352114,0,445315,126709
ATLANTA,2025,12,2343,2326,17,0,0,1344,3,1105,10,1299,828,497,210414,36927,139366,0,302090,142679
TAMPA,2025,10,6316,6022,294,18,101,3735,82,2200,93,4663,2586,1134,1073483,36834,690409,152,263177,114869
HOUSTON,2026,3,4109,509,3600,233,2691,2662,313,234,1602,3837,2889,1747,184561,86754,685568,0,491823,455944
NORTH AL,2025,8,1510,1499,11,0,0,1335,0,251,0,363,324,66,220964,7541,94096,38,301330,0
ORLANDO,2025,7,6037,5826,211,14,131,3383,10,2489,100,3582,2110,1017,339007,46716,389364,0,499486,58533
ORLANDO,2025,9,5174,4977,197,15,102,3116,15,2073,76,3408,1901,937,262078,39070,353506,1,433105,54008
ORLANDO,2025,10,5680,5478,202,6,65,3311,16,2186,61,3928,2134,1076,304622,33421,391172,3165,466109,68407
DOTHAN,2025,11,785,759,26,0,0,345,0,169,0,290,103,46,48851,790,13970,0,142988,3899
MIAMI,2026,4,2090,2065,25,1616,19,1318,7,837,12,1704,1017,584,124436,25648,182651,0,475681,136997
DEMOPOLIS,2025,10,200,184,16,0,0,172,0,29,16,56,56,24,36248,2268,6759,0,13641,1431
EAST TN,2025,7,2717,2717,0,0,0,2215,0,554,0,793,615,188,171048,4967,120538,0,303167,38743
SOUTH CA,2026,3,4866,2841,2025,1764,1545,2705,310,943,501,4071,2413,941,692213,65201,522896,0,914957,0
SOUTHWEST,2025,12,4881,3274,1607,2350,1474,2773,250,968,353,4226,2569,1025,688263,35292,292291,25,396492,23734
ATLANTA,2026,4,3651,3617,34,0,0,2489,8,1652,17,2492,1577,953,316566,31074,191982,0,411301,127125
OPELIKA,2025,7,1077,1077,0,0,0,832,0,150,0,560,429,69,143781,7679,15545,0,136205,0
ATLANTA,2025,10,3108,3077,31,0,0,1924,3,1290,13,1921,1125,599,256296,32180,135635,1050,442625,108255
