Market,Year,Month,Total Orders,Analog Total,Digital Total,Analog Auto,Digital Auto,Modification Analog,Modification Digital,Cancellation Analog,Cancellation Digital,Digitizable Orders,Modification Digitizable,Cancellation Digitizable,HTCreate,HTCancel,HTModify,HTOther
Atlanta,2025,5,3404,3337,67,0,0,1872,12,1607,25,1861,1166,705,302137.059680,45508.307280,167665.774250,621022.858790
Atlanta,2025,6,3380,3323,57,0,0,1882,2,1394,9,1875,1192,632,342694.958556,46483.381064,182121.072583,617176.587797
Atlanta,2025,7,3283,3236,47,0,0,1746,4,1263,11,1968,1091,594,318574.892394,44811.431302,173994.223536,738158.330926
Atlanta,2025,8,3092,3059,33,0,0,1717,2,1291,3,1702,1010,562,239668.922040,41356.679900,137025.754940,641549.582790
Atlanta,2025,9,3242,3200,42,0,0,1942,3,1163,16,2048,1212,560,270087.532912,33315.531308,152708.560432,648741.375348
Atlanta,2025,10,3108,3077,31,0,0,1924,3,1290,13,1921,1125,599,257965.016749,32867.882475,144011.654908,622852.445868
Atlanta,2025,11,2514,2485,29,0,0,1305,3,1070,9,1348,805,439,209792.342049,24219.833510,144575.354353,561245.470088
Atlanta,2025,12,2343,2326,17,0,0,1344,3,1105,10,1299,828,497,211759.119024,38014.917392,144288.367036,516510.596548
Atlanta,2026,1,2774,2757,17,0,0,1863,3,1440,7,1720,1146,737,211401.173760,30823.382144,142642.002864,529655.371496
Atlanta,2026,2,3162,3134,28,0,0,2159,7,1358,5,1964,1235,652,270053.506700,37574.335860,185255.746000,652794.520820
Atlanta,2026,3,3560,3530,30,0,0,2514,3,1636,15,2485,1638,953,317484.787936,38608.477400,207674.432024,664833.302640
Atlanta,2026,4,3648,3614,34,0,0,2491,8,1417,15,2537,1627,786,317587.169356,31771.753342,198161.101906,601085.975396
Cantonment,2025,5,1218,1209,9,0,0,777,0,401,0,719,419,259,105008.112091,9768.106837,34212.850050,258064.931022
Cantonment,2025,6,1227,1219,8,0,0,780,0,395,1,622,321,182,107970.232398,8886.616342,33995.749092,255775.402168
Cantonment,2025,7,1276,1265,11,0,0,800,0,444,2,761,418,273,116728.967945,7314.961845,25497.007005,190233.063205
Cantonment,2025,8,1166,1160,6,0,0,753,0,407,0,637,382,230,107820.332226,8581.494739,24989.150009,186691.023026
Cantonment,2025,9,1131,1128,3,0,0,725,0,310,1,522,291,138,117489.104488,7083.951888,19763.691376,195816.252248
Cantonment,2025,10,1253,1247,6,0,0,781,0,364,1,681,355,202,106063.670400,7856.820781,21570.623333,236923.928659
Cantonment,2025,11,869,865,4,0,0,535,0,264,0,427,226,130,77672.644266,6022.528280,18818.428394,182103.367277
Cantonment,2025,12,858,855,3,0,0,530,0,285,0,411,221,144,71266.038192,7193.417860,22169.627746,201744.916202
Cantonment,2026,1,1034,1017,17,0,0,674,0,321,3,533,299,156,85636.463616,6529.530288,21667.434296,236882.613616
Cantonment,2026,2,1146,1134,12,0,0,723,0,385,2,661,384,231,96056.203527,7375.149066,19649.006142,247191.641265
Cantonment,2026,3,1326,1311,15,0,0,868,0,425,3,753,461,282,87555.250926,6996.196892,14245.450352,279064.101830
Cantonment,2026,4,1390,1371,19,0,0,927,0,439,4,773,481,276,93786.905600,10275.632070,19769.327750,255075.196110
Central AL,2025,5,1326,1326,0,0,0,1112,0,306,0,674,596,175,148539.261248,9627.760775,119615.165439,326782.550575
Central AL,2025,6,1378,1378,0,0,0,1126,0,298,0,627,546,136,152093.952736,12384.739792,132022.142448,356806.165024
Central AL,2025,7,1333,1333,0,0,0,1114,0,213,0,584,509,97,181924.389562,8585.420156,117483.054726,353336.135556
Central AL,2025,8,1302,1302,0,0,0,1082,0,263,0,553,488,113,137260.681526,6877.317970,100875.089154,341037.911350
Central AL,2025,9,1354,1354,0,0,0,1175,0,212,0,573,504,76,153384.552852,6996.305214,98801.766172,435790.375762
Central AL,2025,10,1240,1240,0,0,0,1065,0,207,0,471,417,71,155272.309978,7783.451226,110151.319342,373946.919454
Central AL,2025,11,1025,1025,0,0,0,896,0,193,0,361,321,67,169931.063290,9749.354491,124796.242363,376691.339856
Central AL,2025,12,964,964,0,0,0,875,0,205,0,387,362,76,139686.539276,8124.906388,131697.863394,316082.914656
Central AL,2026,1,980,980,0,0,0,887,0,253,0,369,346,82,135046.455375,8524.734006,140467.543667,300894.266952
Central AL,2026,2,1047,1047,0,0,0,1037,0,218,0,376,375,56,139643.267181,5181.765541,170539.397108,291303.570170
Central AL,2026,3,1324,1324,0,0,0,1316,0,304,0,509,509,108,150480.868366,5254.070662,152087.308662,339019.752310
Central AL,2026,4,1323,1323,0,0,0,1301,0,307,0,452,452,90,132975.919337,5809.406159,169270.713368,311764.961136
Central AL,2026,5,6,6,0,0,0,6,0,0,0,0,0,0,,,,
Demopolis,2025,5,191,191,0,0,0,153,0,32,0,39,39,6,28294.032680,859.995039,11994.885134,26456.087147
Demopolis,2025,6,188,188,0,0,0,155,0,32,0,41,38,6,40425.836800,1139.631840,11912.401120,16359.125360
Demopolis,2025,7,155,155,0,0,0,119,0,13,0,45,41,3,22935.813877,1919.304684,7515.665344,12094.212914
Demopolis,2025,8,217,203,14,0,0,184,0,55,14,57,57,23,32378.756132,624.126348,6111.800408,14704.317112
Demopolis,2025,9,262,250,12,0,0,239,0,52,12,74,74,22,39050.873887,692.589815,5709.917096,12920.619202
Demopolis,2025,10,200,184,16,0,0,172,0,29,16,56,56,24,36244.758270,2268.272910,6758.285995,15174.682825
Demopolis,2025,11,158,147,11,0,0,131,6,29,11,32,32,19,29959.509590,1773.607606,12375.796306,13496.086498
Demopolis,2025,12,147,145,2,0,0,122,1,28,2,25,25,4,22350.667924,212.669880,10184.488242,8469.173954
Demopolis,2026,1,179,177,2,0,0,152,1,55,2,36,36,13,20341.864462,1149.234630,13529.506708,4622.398037
Demopolis,2026,2,232,232,0,0,0,210,0,44,0,48,48,11,31872.323802,3476.961737,13195.863128,9717.851333
Demopolis,2026,3,238,238,0,0,0,216,0,33,0,60,60,2,46379.418064,1837.016578,19390.179311,19780.396846
Demopolis,2026,4,226,226,0,0,0,202,0,33,0,43,43,3,26088.093112,2425.398194,14086.711958,7160.796736
Dothan,2025,5,1151,1124,27,0,0,576,0,307,0,435,180,78,95924.202142,3741.678282,20828.110418,227273.009158
Dothan,2025,6,1174,1156,18,0,0,544,0,291,0,420,172,67,77588.144915,2999.421335,20397.127840,215977.305910
Dothan,2025,7,1138,1115,23,0,0,519,0,238,0,428,166,54,65375.682536,1781.794608,13329.077496,177822.445360
Dothan,2025,8,1177,1143,34,0,0,522,0,304,0,386,139,60,62732.961774,2102.152814,13769.367974,174699.517438
Dothan,2025,9,1097,1069,28,0,0,508,0,176,1,420,143,39,64139.089652,400.313668,9522.152016,150665.444664
Dothan,2025,10,1176,1143,33,0,0,550,0,211,0,428,148,39,60370.033793,1147.824245,9464.113844,191998.028118
Dothan,2025,11,785,759,26,0,0,345,0,169,0,290,103,46,48771.442055,789.081415,13947.515892,149481.960638
Dothan,2025,12,744,724,20,0,0,368,0,213,2,253,122,61,44383.335437,1601.801241,8200.353275,135089.510047
Dothan,2026,1,918,890,28,0,0,454,0,221,1,298,117,49,55152.698406,1019.808040,12469.440872,149265.052682
Dothan,2026,2,911,886,25,0,0,419,0,202,2,372,115,48,40655.786480,1425.164000,10653.291170,156857.793080
Dothan,2026,3,1178,1146,32,0,0,622,0,263,3,414,171,67,65941.810887,952.417914,11265.865152,185356.863596
Dothan,2026,4,1090,1067,23,0,0,542,0,233,0,393,143,61,47044.725256,1184.132473,6097.398223,157000.744048
East TN,2025,5,2259,2259,0,0,0,1923,0,530,0,693,585,202,11005.507844,682.334544,26565.849456,106683.308156
East TN,2025,6,2498,2498,0,0,0,2045,0,465,0,749,605,163,10375.435712,312.938432,32631.981664,120351.644192
East TN,2025,7,2717,2717,0,0,0,2215,0,554,0,793,615,188,5393.534405,428.494925,35684.700465,121093.270205
East TN,2025,8,2379,2379,0,0,0,1969,0,428,0,590,444,104,8417.237132,407.098331,32004.434677,92346.229860
East TN,2025,9,2527,2527,0,0,0,2158,0,494,0,786,645,157,41347.870102,1607.764512,37320.711750,160696.653636
East TN,2025,10,2335,2335,0,0,0,1884,0,476,0,683,526,145,129693.193944,4856.287632,85195.089544,327250.317336
East TN,2025,11,1740,1740,0,0,0,1390,0,324,0,483,350,92,118354.769974,4171.302178,64714.231385,271026.602824
East TN,2025,12,1561,1561,0,0,0,1302,0,341,0,532,437,114,107550.919126,4305.906013,87795.589774,278084.585087
East TN,2026,1,1616,1616,0,0,0,1346,0,438,0,653,540,212,103554.009906,6669.273412,72128.853985,293071.862697
East TN,2026,2,1641,1641,0,0,0,1334,0,383,0,670,537,157,91968.467776,3765.156760,67701.720560,276671.604272
East TN,2026,3,2190,2190,0,0,0,1852,0,429,0,691,581,139,128003.304084,3939.798632,87793.203769,358951.693515
East TN,2026,4,2286,2286,0,0,0,1993,0,384,0,728,617,126,156775.537034,3752.388545,83407.018844,385135.055577
Foley,2025,5,763,763,0,0,0,370,0,235,0,265,117,15,131264.339117,15049.230679,53211.987511,65906.442693
Foley,2025,6,651,651,0,0,0,300,0,162,0,223,86,13,113344.605116,13027.860556,50313.670564,76153.863764
Foley,2025,7,699,699,0,0,0,313,0,178,0,243,98,14,113779.473535,6816.449702,52991.900377,85570.069685
Foley,2025,8,763,763,0,0,0,381,0,283,0,218,99,22,111086.301464,7106.207504,59286.034296,81891.456736
Foley,2025,9,680,680,0,0,0,402,0,157,0,293,136,18,130874.493464,7451.998890,54289.255306,88912.252340
Foley,2025,10,749,749,0,0,0,458,0,201,0,328,143,17,120848.898380,3920.237800,54059.019100,83925.947685
