Market,Year,Month,Day,Hour,Order Mgmt HT (hr),Order Mgmt Interactions,Orders,Analog,Digital,Occur Int,Occur Ord
Atlanta,2025,3,Friday,05:00:00.000,0.001944444444,1,,,,1,
Atlanta,2025,3,Friday,06:00:00.000,6.082115586667,175,5,5,0,4,3
Atlanta,2025,3,Friday,07:00:00.000,13.861094844444,443,34,34,0,4,4
Atlanta,2025,3,Friday,08:00:00.000,30.170179327778,982,76,70,6,4,4
Atlanta,2025,3,Friday,09:00:00.000,44.300693711111,1622,81,81,0,4,4
Atlanta,2025,3,Friday,10:00:00.000,30.511350986667,1138,112,98,14,4,4
Atlanta,2025,3,Friday,11:00:00.000,27.348819888889,937,65,65,0,4,4
Atlanta,2025,3,Friday,12:00:00.000,24.881776516667,992,83,83,0,4,4
Atlanta,2025,3,Friday,13:00:00.000,26.909234866667,1055,58,58,0,4,4
Atlanta,2025,3,Friday,14:00:00.000,18.269982643333,658,77,76,1,4,4
Atlanta,2025,3,Friday,15:00:00.000,10.105595211111,457,65,65,0,4,4
Atlanta,2025,3,Friday,16:00:00.000,13.186453502222,448,23,23,0,4,4
Atlanta,2025,3,Friday,17:00:00.000,3.449846266667,148,36,34,2,4,4
Atlanta,2025,3,Friday,18:00:00.000,0.249722222222,7,13,13,0,3,3
Atlanta,2025,3,Friday,20:00:00.000,,,1,1,0,,1
Atlanta,2025,3,Monday,06:00:00.000,11.263526748889,335,29,29,0,5,5
Atlanta,2025,3,Monday,07:00:00.000,25.729492472222,771,89,89,0,5,5
Atlanta,2025,3,Monday,08:00:00.000,40.610204816667,1036,116,113,3,5,5
Atlanta,2025,3,Monday,09:00:00.000,46.743768377778,1455,142,142,0,5,5
Atlanta,2025,3,Monday,10:00:00.000,46.240574000000,1611,81,79,2,5,5
Atlanta,2025,3,Monday,11:00:00.000,32.141315450000,914,111,110,1,5,5
Atlanta,2025,3,Monday,12:00:00.000,21.898585594444,896,82,82,0,5,5
Atlanta,2025,3,Monday,13:00:00.000,24.918223666667,812,79,79,0,5,5
Atlanta,2025,3,Monday,14:00:00.000,13.299306844444,521,76,76,0,5,5
Atlanta,2025,3,Monday,15:00:00.000,11.125633033333,465,50,50,0,5,5
Atlanta,2025,3,Monday,16:00:00.000,9.321264764444,302,35,35,0,5,5
Atlanta,2025,3,Monday,17:00:00.000,1.966666666667,98,23,23,0,5,5
Atlanta,2025,3,Monday,18:00:00.000,0.015833333333,1,25,25,0,1,5
Atlanta,2025,3,Monday,19:00:00.000,0.019921113333,1,2,2,0,1,1
Atlanta,2025,3,Saturday,06:00:00.000,0.138583123333,8,,,,5,
Atlanta,2025,3,Saturday,07:00:00.000,0.508401747778,22,1,1,0,5,1
Atlanta,2025,3,Saturday,08:00:00.000,0.541006575556,25,,,,5,
Atlanta,2025,3,Saturday,09:00:00.000,0.528275337778,33,2,2,0,5,1
Atlanta,2025,3,Saturday,10:00:00.000,0.543690981111,35,,,,5,
Atlanta,2025,3,Saturday,11:00:00.000,0.355219436667,21,,,,4,
Atlanta,2025,3,Saturday,12:00:00.000,0.226388888889,16,,,,4,
Atlanta,2025,3,Saturday,13:00:00.000,0.018611111111,2,1,1,0,1,1
Atlanta,2025,3,Saturday,14:00:00.000,0.033611111111,3,,,,1,
Atlanta,2025,3,Sunday,16:00:00.000,,,1,1,0,,1
Atlanta,2025,3,Sunday,20:00:00.000,,,1,1,0,,1
Atlanta,2025,3,Thursday,04:00:00.000,0.018888888889,1,,,,1,
Atlanta,2025,3,Thursday,06:00:00.000,6.065723056667,204,7,7,0,4,4
Atlanta,2025,3,Thursday,07:00:00.000,14.292932095556,410,36,36,0,4,4
Atlanta,2025,3,Thursday,08:00:00.000,34.916829861111,1262,61,61,0,4,4
Atlanta,2025,3,Thursday,09:00:00.000,36.126974477778,1467,61,61,0,4,4
Atlanta,2025,3,Thursday,10:00:00.000,33.015562305556,1237,66,66,0,4,4
Atlanta,2025,3,Thursday,11:00:00.000,29.872521023333,1003,62,62,0,4,4
Atlanta,2025,3,Thursday,12:00:00.000,24.177201516667,935,56,53,3,4,4
Atlanta,2025,3,Thursday,13:00:00.000,25.930182730000,948,52,52,0,4,4
Atlanta,2025,3,Thursday,14:00:00.000,20.985782194444,764,51,51,0,4,4
Atlanta,2025,3,Thursday,15:00:00.000,7.852369443333,388,42,42,0,4,4
Atlanta,2025,3,Thursday,16:00:00.000,6.131691916667,271,59,59,0,4,4
Atlanta,2025,3,Thursday,17:00:00.000,4.659979720000,86,27,27,0,4,4
Atlanta,2025,3,Thursday,18:00:00.000,0.043611111111,2,9,9,0,1,3
Atlanta,2025,3,Thursday,22:00:00.000,,,1,1,0,,1
Atlanta,2025,3,Tuesday,06:00:00.000,4.471947102222,150,13,13,0,4,4
Atlanta,2025,3,Tuesday,07:00:00.000,10.793990580000,355,36,36,0,4,4
Atlanta,2025,3,Tuesday,08:00:00.000,26.485441530000,911,48,48,0,4,4
Atlanta,2025,3,Tuesday,09:00:00.000,46.288219361111,1595,82,82,0,4,4
Atlanta,2025,3,Tuesday,10:00:00.000,44.499490477778,1578,71,71,0,4,4
Atlanta,2025,3,Tuesday,11:00:00.000,25.007900438889,922,63,63,0,4,4
Atlanta,2025,3,Tuesday,12:00:00.000,18.656990877778,757,43,43,0,4,4
Atlanta,2025,3,Tuesday,13:00:00.000,25.369693037778,888,57,57,0,4,4
Atlanta,2025,3,Tuesday,14:00:00.000,17.823002157778,791,64,63,1,4,4
Atlanta,2025,3,Tuesday,15:00:00.000,10.610458116667,491,78,78,0,4,4
Atlanta,2025,3,Tuesday,16:00:00.000,9.098360257778,448,44,44,0,4,4
Atlanta,2025,3,Tuesday,17:00:00.000,3.464111860000,106,34,34,0,4,4
Atlanta,2025,3,Tuesday,18:00:00.000,0.202986104444,14,17,17,0,3,3
Atlanta,2025,3,Tuesday,19:00:00.000,,,2,2,0,,1
Atlanta,2025,3,Wednesday,05:00:00.000,0.004166666667,1,,,,1,
Atlanta,2025,3,Wednesday,06:00:00.000,4.178113125556,129,5,5,0,4,2
Atlanta,2025,3,Wednesday,07:00:00.000,14.005127977778,462,46,46,0,4,4
Atlanta,2025,3,Wednesday,08:00:00.000,39.549532605556,1214,46,43,3,4,4
Atlanta,2025,3,Wednesday,09:00:00.000,35.917183522222,1297,88,88,0,4,4
Atlanta,2025,3,Wednesday,10:00:00.000,37.782363727778,1425,74,74,0,4,4
Atlanta,2025,3,Wednesday,11:00:00.000,29.847836650000,1080,90,86,4,4,4
